State,County,Organization Name,Plan Name,Contract ID,Plan ID,Segment ID,Organization Type,Plan Type,Special Needs Plan,Special Needs Plan Type,Benefit Type,Part D Basic Premium Below Regional Benchmark?,National PDP,Part C Premium2,Part D Total Premium5,Tiers Not Subject to Deductible7,Increased Initial Coverage Limit8,Extra Coverage in Gap,Unnamed: 26,Total Premium,temp
Alabama,Bibb,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),H0150,24,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,Y,,0.0,True
Alabama,Bibb,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H2802,41,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Bibb,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H2802,42,0,Local CCP,HMO,No,,Enhanced Alternative,,,20.9,23.1,,,,,44.0,False
Alabama,Bibb,Humana Insurance Company,HumanaChoice H5216-095 (PPO),H5216,95,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,24.5,22.5,1.0,,,,47.0,False
Alabama,Bibb,"Arcadian Health Plan, Inc.",Humana Gold Plus H5619-088 (HMO),H5619,88,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Bibb,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Blount,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Blount,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Blount,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),H0150,24,2,Local CCP,HMO,No,,Enhanced Alternative,,,19.6,18.4,1.0,,Y,,38.0,False
Alabama,Blount,VIVA Medicare,VIVA Medicare Premier (HMO),H0154,11,0,Local CCP,HMO,No,,Enhanced Alternative,,,38.5,70.5,,,Y,,109.0,False
Alabama,Blount,VIVA Medicare,VIVA Medicare Me (HMO),H0154,14,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,,,,,0.0,True
Alabama,Blount,VIVA Medicare,VIVA Medicare Plus (HMO),H0154,15,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Blount,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H2802,41,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Blount,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H2802,42,0,Local CCP,HMO,No,,Enhanced Alternative,,,20.9,23.1,,,,,44.0,False
Alabama,Blount,Humana Insurance Company,HumanaChoice H5216-095 (PPO),H5216,95,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,24.5,22.5,1.0,,,,47.0,False
Alabama,Blount,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Bullock,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Bullock,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Bullock,VIVA Medicare,VIVA Medicare Premier (HMO),H0154,11,0,Local CCP,HMO,No,,Enhanced Alternative,,,38.5,70.5,,,Y,,109.0,False
Alabama,Bullock,VIVA Medicare,VIVA Medicare Plus (HMO),H0154,15,2,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,28.0,1.0,,,,28.0,False
Alabama,Bullock,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H0432,3,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Bullock,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H0432,4,0,Local CCP,HMO,No,,Enhanced Alternative,,,19.4,27.6,,,,,47.0,False
Alabama,Bullock,Humana Insurance Company,HumanaChoice H5216-095 (PPO),H5216,95,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,24.5,22.5,1.0,,,,47.0,False
Alabama,Bullock,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Butler,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Butler,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Butler,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Calhoun,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Calhoun,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Calhoun,VIVA Medicare,VIVA Medicare Premier (HMO),H0154,11,0,Local CCP,HMO,No,,Enhanced Alternative,,,38.5,70.5,,,Y,,109.0,False
Alabama,Calhoun,VIVA Medicare,VIVA Medicare Plus (HMO),H0154,15,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Calhoun,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Chambers,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Chambers,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Chambers,Humana Insurance Company,HumanaChoice H5216-056 (PPO),H5216,56,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,18.1,26.9,1.0,,,,45.0,False
Alabama,Chambers,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Cherokee,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Cherokee,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Cherokee,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),H0150,24,2,Local CCP,HMO,No,,Enhanced Alternative,,,19.6,18.4,1.0,,Y,,38.0,False
Alabama,Cherokee,VIVA Medicare,VIVA Medicare Premier (HMO),H0154,11,0,Local CCP,HMO,No,,Enhanced Alternative,,,38.5,70.5,,,Y,,109.0,False
Alabama,Cherokee,VIVA Medicare,VIVA Medicare Plus (HMO),H0154,15,2,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,28.0,1.0,,,,28.0,False
Alabama,Cherokee,Humana Insurance Company,HumanaChoice H5216-094 (PPO),H5216,94,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,26.5,20.5,1.0,,,,47.0,False
Alabama,Cherokee,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Chilton,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,14,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Chilton,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Chilton,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),H0150,24,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,Y,,0.0,True
Alabama,Chilton,VIVA Medicare,VIVA Medicare Premier (HMO),H0154,11,0,Local CCP,HMO,No,,Enhanced Alternative,,,38.5,70.5,,,Y,,109.0,False
Alabama,Chilton,VIVA Medicare,VIVA Medicare Me (HMO),H0154,14,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,,,,,0.0,True
Alabama,Chilton,VIVA Medicare,VIVA Medicare Plus (HMO),H0154,15,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Chilton,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H2802,41,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Chilton,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H2802,42,0,Local CCP,HMO,No,,Enhanced Alternative,,,20.9,23.1,,,,,44.0,False
Alabama,Chilton,Humana Insurance Company,HumanaChoice H5216-095 (PPO),H5216,95,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,24.5,22.5,1.0,,,,47.0,False
Alabama,Chilton,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Choctaw,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Choctaw,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Choctaw,Humana Insurance Company,HumanaChoice H5216-094 (PPO),H5216,94,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,26.5,20.5,1.0,,,,47.0,False
Alabama,Choctaw,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Clarke,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Clarke,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Clarke,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H0432,5,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Clarke,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H0432,6,0,Local CCP,HMO,No,,Enhanced Alternative,,,19.4,27.6,,,,,47.0,False
Alabama,Clarke,"Humana Benefit Plan of Illinois, Inc.",HumanaChoice H5525-020 (PPO),H5525,20,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,33.2,32.8,1.0,,,,66.0,False
Alabama,Clarke,"Arcadian Health Plan, Inc.",Humana Gold Plus H5619-089 (HMO),H5619,89,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Clarke,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Clay,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Clay,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Clay,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H0432,7,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Clay,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H0432,8,0,Local CCP,HMO,No,,Enhanced Alternative,,,19.4,27.6,,,,,47.0,False
Alabama,Clay,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),H8145,75,0,PFFS,PFFS,No,,Basic Alternative,,,63.2,31.8,1.0,,,,95.0,False
Alabama,Clay,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Cleburne,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Cleburne,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Cleburne,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Coffee,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Coffee,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Coffee,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H0432,3,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Coffee,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H0432,4,0,Local CCP,HMO,No,,Enhanced Alternative,,,19.4,27.6,,,,,47.0,False
Alabama,Coffee,Humana Insurance Company,HumanaChoice H5216-096 (PPO),H5216,96,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,29.5,15.5,1.0,,,,45.0,False
Alabama,Coffee,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Colbert,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Colbert,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Colbert,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),H0150,24,2,Local CCP,HMO,No,,Enhanced Alternative,,,19.6,18.4,1.0,,Y,,38.0,False
Alabama,Colbert,VIVA Medicare,VIVA Medicare Premier (HMO),H0154,11,0,Local CCP,HMO,No,,Enhanced Alternative,,,38.5,70.5,,,Y,,109.0,False
Alabama,Colbert,VIVA Medicare,VIVA Medicare Plus (HMO),H0154,15,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Colbert,Humana Insurance Company,HumanaChoice H5216-094 (PPO),H5216,94,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,26.5,20.5,1.0,,,,47.0,False
Alabama,Colbert,"Arcadian Health Plan, Inc.",Humana Gold Plus H5619-094 (HMO),H5619,94,0,Local CCP,HMO,No,,Enhanced Alternative,,,26.5,16.5,1.0,,,,43.0,False
Alabama,Colbert,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Conecuh,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Conecuh,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Conecuh,Humana Insurance Company,HumanaChoice H5216-094 (PPO),H5216,94,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,26.5,20.5,1.0,,,,47.0,False
Alabama,Conecuh,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Coosa,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Coosa,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Coosa,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H0432,7,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Coosa,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H0432,8,0,Local CCP,HMO,No,,Enhanced Alternative,,,19.4,27.6,,,,,47.0,False
Alabama,Coosa,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Covington,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Covington,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Covington,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Crenshaw,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Crenshaw,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Crenshaw,VIVA Medicare,VIVA Medicare Premier (HMO),H0154,11,0,Local CCP,HMO,No,,Enhanced Alternative,,,38.5,70.5,,,Y,,109.0,False
Alabama,Crenshaw,VIVA Medicare,VIVA Medicare Plus (HMO),H0154,15,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Crenshaw,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Cullman,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
Alabama,Cullman,Blue Advantage (PPO),Blue Advantage Premier (PPO),H0104,15,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,98.0,61.0,,,,,159.0,False
Alabama,Cullman,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),H0150,24,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,Y,,0.0,True
Alabama,Cullman,VIVA Medicare,VIVA Medicare Premier (HMO),H0154,11,0,Local CCP,HMO,No,,Enhanced Alternative,,,38.5,70.5,,,Y,,109.0,False
Alabama,Cullman,VIVA Medicare,VIVA Medicare Plus (HMO),H0154,15,1,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Cullman,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),H2802,41,0,Local CCP,HMO,No,,Enhanced Alternative,,,0.0,0.0,1.0,,,,0.0,True
Alabama,Cullman,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),H2802,42,0,Local CCP,HMO,No,,Enhanced Alternative,,,20.9,23.1,,,,,44.0,False
Alabama,Cullman,Humana Insurance Company,HumanaChoice R7315-002 (Regional PPO),R7315,2,0,Regional CCP,Regional PPO,No,,Basic Alternative,Below Regional Benchmark,,59.4,27.6,1.0,,,,87.0,False
Alabama,Dale,Blue Advantage (PPO),Blue Advantage Complete (PPO),H0104,12,0,Local CCP,Local PPO,No,,Enhanced Alternative,,,15.8,33.2,1.0,,,,49.0,False
